date,open,high,low,close,volume
2025-04-03,264.8,271.22,263.48,268.36,4242858
2025-04-04,269.445,273.42,254.19,254.46,5819157
2025-04-07,254.34,259.42,250.1652,252.37,5472796
2025-04-08,256.54,258.85,252.0,255.03,5514600
2025-04-09,252.79,259.38,248.53,254.13,6336298
2025-04-10,256.62,260.62,252.871,258.39,3013914
2025-04-11,259.05,264.45,258.89,261.54,2756992
2025-04-14,260.62,265.25,257.61,263.69,2373838
2025-04-15,264.12,265.51,262.16,262.87,1567919
2025-04-16,263.0,264.935,260.71,261.39,2380260
2025-04-17,262.47,265.21,261.44,262.53,1796779
2025-04-21,263.28,264.38,257.89,260.33,2493817
2025-04-22,261.895,265.9,260.78,265.56,2744015
2025-04-23,256.645,262.01,251.9,261.48,3476127
2025-04-24,261.48,266.3376,258.63,263.27,2632246
2025-04-25,263.025,266.46,261.3,266.3,1709146
2025-04-28,266.83,268.92,265.75,267.92,1778588
2025-04-29,268.24,272.89,267.39,272.36,1770762
2025-04-30,271.98,278.155,270.24,277.08,2122397
2025-05-01,275.27,278.35,273.91,277.11,2048050
2025-05-02,278.245,282.1,277.75,280.45,2245603
2025-05-05,279.86,283.11,278.64,282.56,1510545
2025-05-06,282.05,285.94,281.0,282.98,1888535
2025-05-07,282.42,286.48,281.855,284.82,1411390
2025-05-08,283.7,285.105,281.66,281.99,1620116
2025-05-09,282.44,284.66,281.965,284.35,953432
2025-05-12,280.46,280.85,267.06,270.47,4906436
2025-05-13,270.01,272.409,268.18,268.34,3201184
2025-05-14,268.76,269.27,265.72,266.28,2483203
2025-05-15,268.375,274.24,266.855,274.0,2226243
2025-05-16,273.735,276.56,273.435,276.29,1516121
2025-05-19,277.11,279.865,276.37,277.94,1617982
2025-05-20,278.27,278.415,275.8175,277.87,1389202
2025-05-21,277.21,282.1999,276.81,281.74,2221647
2025-05-22,281.93,284.04,280.38,282.0,1783298
2025-05-23,281.8,285.8699,280.39,284.07,2323476
2025-05-27,283.76,284.9056,281.375,284.36,1792868
2025-05-28,284.58,287.045,284.0,285.98,2297669
2025-05-29,284.97,287.1,284.24,285.87,1486176
2025-05-30,286.34,290.1,285.565,289.0,4721409
2025-06-02,288.1,290.79,287.17,290.71,2150245
2025-06-03,289.38,289.565,278.1,282.31,2745688
2025-06-04,282.19,282.19,277.51,277.88,1837438
2025-06-05,277.88,278.125,274.25,274.9,1958168
2025-06-06,275.18,275.71,270.2,274.24,1636081
2025-06-09,271.54,271.82,265.02,268.35,3020224
2025-06-10,268.89,269.055,264.31,266.1,2640428
2025-06-11,266.11,269.72,264.35,269.65,2749171
2025-06-12,270.59,272.07,268.25,270.96,2194303
2025-06-13,273.97,273.97,268.845,269.5,1576361
2025-06-16,269.66,270.94,266.0,267.51,3208615
2025-06-17,267.6,270.515,266.4,269.7,1795638
2025-06-18,269.82,272.285,268.21,272.1,2539458
2025-06-20,271.42,274.28,263.205,273.99,10645719
2025-06-23,274.26,275.83,271.08,272.66,2363239
2025-06-24,273.33,273.59,270.0,271.38,2344663
2025-06-25,270.63,273.535,269.685,273.03,1590089
2025-06-26,274.56,274.56,271.73,272.83,2428805
2025-06-27,272.57,274.93,271.51,274.76,2682059
2025-06-30,274.21,275.91,272.03,275.62,2473291
2025-07-01,277.64,277.64,271.18,275.42,2010485
2025-07-02,275.0,276.55,271.12,275.82,2074834
2025-07-03,275.83,276.91,273.49,276.7,1234017
2025-07-07,277.24,282.57,274.99,282.55,2252337
2025-07-08,280.55,281.925,274.57,275.63,3437329
2025-07-09,275.0,275.745,271.56,275.64,2841501
2025-07-10,275.64,277.9,274.71,275.19,1602141
2025-07-11,276.12,276.98,274.23,275.08,1531718
2025-07-14,276.44,278.33,275.71,277.06,1470399
2025-07-15,274.1,275.48,272.25,275.0,1962092
2025-07-16,275.0,279.34,273.71,277.53,2452478
2025-07-17,276.87,279.74,276.44,277.82,2018961
2025-07-18,277.92,278.465,274.3,274.7,2197282
2025-07-21,273.54,276.99,272.0001,275.0,1998831
2025-07-22,275.0,275.68,273.25,274.64,2722729
2025-07-23,274.22,280.39,273.31,276.48,2665714
2025-07-24,276.46,279.01,273.03,277.18,2720653
2025-07-25,277.91,281.8,277.03,279.55,1834739
2025-07-28,278.7,279.675,273.855,274.12,2233374
2025-07-29,274.64,278.145,274.02,274.6,2147380
2025-07-30,274.82,278.3,273.57,277.74,1410980
2025-07-31,276.97,280.85,276.065,278.28,1961655
2025-08-01,280.79,282.0599,279.145,280.76,3011141
2025-08-04,280.76,287.27,280.525,287.1,1727065
2025-08-05,287.21,287.59,284.425,284.61,1572082
2025-08-06,283.8,283.98,279.1,281.35,1689089
2025-08-07,281.4,283.55,278.55,280.95,1676006
2025-08-08,281.97,284.3,280.0,282.21,1488494
2025-08-11,280.945,288.28,280.945,285.75,1567703
2025-08-12,286.0,286.06,274.53,275.88,2742623
2025-08-13,275.0,275.78,271.81,273.92,2384299
2025-08-14,276.11,277.2772,273.92,274.7,1971004
2025-08-15,274.7,276.515,273.37,273.92,2056519
2025-08-18,274.2,276.0,270.15,270.41,2165008
2025-08-19,270.41,272.75,269.5,271.49,1767472
2025-08-20,272.99,275.585,271.525,274.61,1738747
2025-08-21,275.0,275.61,273.035,273.32,1325711
2025-08-22,274.14,274.95,268.66,269.52,1591625
2025-08-25,269.58,271.66,268.54,271.39,1712588
2025-08-26,270.37,273.23,269.403,271.61,3285547
